Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
12w4b7xr,10747920,LR3_Oct.mp3,2,1,1,trial,73,6,trial,31
12w4b7xr,10747920,MR1_HH3.mp3,3,4,9,trial,25,10,trial,71
12w4b7xr,10747920,MR1_LH3.mp3,3,2,11,trial,75,3,trial,39
12w4b7xr,10747920,MR1_MH2.mp3,3,3,5,trial,32,13,trial,63
12w4b7xr,10747920,MR1_Oct.mp3,3,1,16,trial,75,12,trial,32
130mtdx5,10749093,HR1_HH3.mp3,4,4,16,trial,59,4,trial,35
130mtdx5,10749093,HR1_LH3.mp3,4,2,5,trial,33,7,trial,16
130mtdx5,10749093,HR1_MH2.mp3,4,3,3,trial,59,16,trial,61
130mtdx5,10749093,HR1_Oct.mp3,4,1,15,trial,23,12,trial,61
130mtdx5,10749093,Iso_HH3.mp3,1,4,7,trial,12,2,trial,30
130mtdx5,10749093,Iso_LH3.mp3,1,2,11,trial,25,5,trial,28
130mtdx5,10749093,Iso_MH2.mp3,1,3,8,trial,15,13,trial,28
130mtdx5,10749093,Iso_Oct.mp3,1,1,4,trial,15,9,trial,15
130mtdx5,10749093,LR3_HH3.mp3,2,4,9,trial,80,6,trial,63
130mtdx5,10749093,LR3_LH3.mp3,2,2,14,trial,84,14,trial,66
130mtdx5,10749093,LR3_MH2.mp3,2,3,12,trial,74,8,trial,78
130mtdx5,10749093,LR3_Oct.mp3,2,1,6,trial,77,1,trial,71
130mtdx5,10749093,MR1_HH3.mp3,3,4,10,trial,93,11,trial,91
130mtdx5,10749093,MR1_LH3.mp3,3,2,2,trial,94,15,trial,91
130mtdx5,10749093,MR1_MH2.mp3,3,3,1,trial,93,10,trial,93
130mtdx5,10749093,MR1_Oct.mp3,3,1,13,trial,90,3,trial,85
248x4tej,10615516,HR1_HH3.mp3,4,4,15,trial,77,16,trial,66
248x4tej,10615516,HR1_LH3.mp3,4,2,12,trial,66,1,trial,70
248x4tej,10615516,HR1_MH2.mp3,4,3,7,trial,83,6,trial,74
248x4tej,10615516,HR1_Oct.mp3,4,1,16,trial,34,9,trial,72
248x4tej,10615516,Iso_HH3.mp3,1,4,4,trial,100,14,trial,70
248x4tej,10615516,Iso_LH3.mp3,1,2,11,trial,68,10,trial,82
248x4tej,10615516,Iso_MH2.mp3,1,3,10,trial,63,12,trial,68
248x4tej,10615516,Iso_Oct.mp3,1,1,5,trial,77,11,trial,69
248x4tej,10615516,LR3_HH3.mp3,2,4,1,trial,4,5,trial,76
248x4tej,10615516,LR3_LH3.mp3,2,2,9,trial,64,15,trial,68
248x4tej,10615516,LR3_MH2.mp3,2,3,3,trial,94,8,trial,57
248x4tej,10615516,LR3_Oct.mp3,2,1,13,trial,71,7,trial,66
248x4tej,10615516,MR1_HH3.mp3,3,4,14,trial,36,2,trial,91
248x4tej,10615516,MR1_LH3.mp3,3,2,6,trial,62,13,trial,68
248x4tej,10615516,MR1_MH2.mp3,3,3,8,trial,58,3,trial,70
248x4tej,10615516,MR1_Oct.mp3,3,1,2,trial,24,4,trial,75
29v1q34h,10747783,HR1_HH3.mp3,4,4,13,trial,38,4,trial,26
29v1q34h,10747783,HR1_LH3.mp3,4,2,11,trial,31,13,trial,62
29v1q34h,10747783,HR1_MH2.mp3,4,3,2,trial,43,7,trial,23
29v1q34h,10747783,HR1_Oct.mp3,4,1,12,trial,28,6,trial,23
29v1q34h,10747783,Iso_HH3.mp3,1,4,8,trial,65,3,trial,33
29v1q34h,10747783,Iso_LH3.mp3,1,2,5,trial,58,1,trial,75
29v1q34h,10747783,Iso_MH2.mp3,1,3,7,trial,67,9,trial,46
29v1q34h,10747783,Iso_Oct.mp3,1,1,14,trial,60,5,trial,55
29v1q34h,10747783,LR3_HH3.mp3,2,4,4,trial,61,10,trial,46
29v1q34h,10747783,LR3_LH3.mp3,2,2,3,trial,61,16,trial,83
29v1q34h,10747783,LR3_MH2.mp3,2,3,15,trial,72,12,trial,57
29v1q34h,10747783,LR3_Oct.mp3,2,1,10,trial,79,8,trial,81
29v1q34h,10747783,MR1_HH3.mp3,3,4,16,trial,57,14,trial,74
29v1q34h,10747783,MR1_LH3.mp3,3,2,9,trial,33,2,trial,43
29v1q34h,10747783,MR1_MH2.mp3,3,3,6,trial,66,15,trial,81
29v1q34h,10747783,MR1_Oct.mp3,3,1,1,trial,52,11,trial,54
2ffbv0lp,10757407,HR1_HH3.mp3,4,4,1,trial,88,14,trial,28
2ffbv0lp,10757407,HR1_LH3.mp3,4,2,8,trial,77,4,trial,87
2ffbv0lp,10757407,HR1_MH2.mp3,4,3,11,trial,85,13,trial,42
2ffbv0lp,10757407,HR1_Oct.mp3,4,1,16,trial,76,1,trial,70
2ffbv0lp,10757407,Iso_HH3.mp3,1,4,7,trial,45,5,trial,22
2ffbv0lp,10757407,Iso_LH3.mp3,1,2,13,trial,75,9,trial,55
2ffbv0lp,10757407,Iso_MH2.mp3,1,3,4,trial,69,2,trial,77
2ffbv0lp,10757407,Iso_Oct.mp3,1,1,15,trial,59,12,trial,76
2ffbv0lp,10757407,LR3_HH3.mp3,2,4,12,trial,90,3,trial,56
2ffbv0lp,10757407,LR3_LH3.mp3,2,2,5,trial,81,7,trial,25
2ffbv0lp,10757407,LR3_MH2.mp3,2,3,10,trial,97,15,trial,56
2ffbv0lp,10757407,LR3_Oct.mp3,2,1,14,trial,90,10,trial,37
2ffbv0lp,10757407,MR1_HH3.mp3,3,4,2,trial,97,8,trial,29
2ffbv0lp,10757407,MR1_LH3.mp3,3,2,9,trial,90,16,trial,70
2ffbv0lp,10757407,MR1_MH2.mp3,3,3,3,trial,74,11,trial,67
2ffbv0lp,10757407,MR1_Oct.mp3,3,1,6,trial,96,6,trial,10
2k2t1xaw,10755906,HR1_HH3.mp3,4,4,5,trial,69,2,trial,100
2k2t1xaw,10755906,HR1_LH3.mp3,4,2,9,trial,29,13,trial,72
2k2t1xaw,10755906,HR1_MH2.mp3,4,3,13,trial,37,9,trial,77
2k2t1xaw,10755906,HR1_Oct.mp3,4,1,12,trial,75,5,trial,69
2k2t1xaw,10755906,Iso_HH3.mp3,1,4,16,trial,70,15,trial,72
2k2t1xaw,10755906,Iso_LH3.mp3,1,2,8,trial,66,7,trial,34
2k2t1xaw,10755906,Iso_MH2.mp3,1,3,3,trial,68,16,trial,60
2k2t1xaw,10755906,Iso_Oct.mp3,1,1,7,trial,72,4,trial,31
2k2t1xaw,10755906,LR3_HH3.mp3,2,4,10,trial,26,8,trial,36
2k2t1xaw,10755906,LR3_LH3.mp3,2,2,14,trial,100,12,trial,70
2k2t1xaw,10755906,LR3_MH2.mp3,2,3,4,trial,71,10,trial,37
2k2t1xaw,10755906,LR3_Oct.mp3,2,1,2,trial,74,6,trial,39
2k2t1xaw,10755906,MR1_HH3.mp3,3,4,1,trial,72,14,trial,37
2k2t1xaw,10755906,MR1_LH3.mp3,3,2,11,trial,33,1,trial,33
2k2t1xaw,10755906,MR1_MH2.mp3,3,3,15,trial,30,3,trial,32
2k2t1xaw,10755906,MR1_Oct.mp3,3,1,6,trial,39,11,trial,34
2l0uqiz5,10679119,HR1_HH3.mp3,4,4,7,trial,23,7,trial,43
2l0uqiz5,10679119,HR1_LH3.mp3,4,2,6,trial,13,2,trial,19
2l0uqiz5,10679119,HR1_MH2.mp3,4,3,13,trial,29,10,trial,42
2l0uqiz5,10679119,HR1_Oct.mp3,4,1,14,trial,27,6,trial,57
2l0uqiz5,10679119,Iso_HH3.mp3,1,4,11,trial,10,16,trial,54
2l0uqiz5,10679119,Iso_LH3.mp3,1,2,2,trial,58,3,trial,41
2l0uqiz5,10679119,Iso_MH2.mp3,1,3,10,trial,6,11,trial,44
2l0uqiz5,10679119,Iso_Oct.mp3,1,1,4,trial,19,4,trial,44
2l0uqiz5,10679119,LR3_HH3.mp3,2,4,9,trial,19,9,trial,54
2l0uqiz5,10679119,LR3_LH3.mp3,2,2,1,trial,25,5,trial,54
2l0uqiz5,10679119,LR3_MH2.mp3,2,3,15,trial,16,15,trial,39
2l0uqiz5,10679119,LR3_Oct.mp3,2,1,3,trial,61,14,trial,55
2l0uqiz5,10679119,MR1_HH3.mp3,3,4,5,trial,31,12,trial,39
2l0uqiz5,10679119,MR1_LH3.mp3,3,2,16,trial,58,13,trial,57
2l0uqiz5,10679119,MR1_MH2.mp3,3,3,12,trial,56,1,trial,32
2l0uqiz5,10679119,MR1_Oct.mp3,3,1,8,trial,72,8,trial,58
3cfrzjo6,10616185,HR1_HH3.mp3,4,4,4,trial,84,12,trial,58
