"Participant.Public.ID","Participant.Private.ID","country","goldmsi1.quantised","goldmsi3.quantised","goldmsi4.quantised","goldmsi7.quantised","goldmsi10.quantised","goldmsi12.quantised","goldmsi14.quantised","goldmsi15.quantised","goldmsi17.quantised","goldmsi19.quantised","goldmsi23.quantised","goldmsi24.quantised","goldmsi25.quantised","goldmsi27.quantised","goldmsi29.quantised","goldmsi32.quantised","goldmsi33.quantised","goldmsi35.quantised","goldmsi36.quantised","goldmsi37.quantised","q01.quantised","q02.quantised","q03.quantised","q04.quantised","q05.quantised","q06.quantised","q07.quantised","q08.quantised","q09.quantised","q10.quantised","q11.quantised","q12.quantised","q13.quantised","q14.quantised","q15.quantised","q16.quantised","q17.quantised","q18.quantised","q19.quantised","q20.quantised"
"7h26xs6k",10615385,"chinese",3,1,3,5,6,2,3,3,1,3,3,1,3,7,5,2,3,5,5,2,4,5,5,5,2,4,4,4,5,5,4,2,4,5,5,4,4,4,5,4
"7uqh2euh",10620334,"chinese",3,2,1,4,5,4,7,2,4,2,7,2,7,7,3,1,1,1,1,1,4,2,5,5,2,3,5,5,5,4,3,1,3,5,4,3,3,3,4,5
"8926ifzd",10756657,"chinese",6,7,6,5,6,7,2,5,1,5,2,5,2,2,5,5,4,4,4,3,4,2,5,4,2,5,4,4,5,4,4,5,4,4,5,5,4,4,5,4
"8brt3ssk",10771400,"chinese",5,2,5,5,6,3,1,3,3,5,2,5,2,5,6,2,4,3,5,3,4,2,4,4,1,4,4,4,4,5,4,4,5,4,4,3,4,4,5,4
"8endlhs6",10748652,"chinese",3,2,3,5,4,2,6,3,2,2,3,3,2,6,5,1,1,1,1,1,4,2,5,4,1,4,5,4,4,5,4,4,5,4,5,5,4,4,5,5
"8kmhrvqz",10615364,"chinese",5,3,4,5,6,6,2,5,2,4,2,4,4,4,5,2,3,5,4,3,5,2,5,5,2,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5
"8ru3x1f0",10620173,"chinese",5,2,5,3,1,1,7,2,5,3,1,2,2,6,2,3,2,2,2,1,4,2,4,5,3,5,4,4,4,4,3,1,2,4,5,3,2,1,4,5
"909fcxf9",10620820,"chinese",5,5,6,6,7,5,3,6,1,6,6,3,1,2,6,2,3,4,5,3,5,2,5,5,1,5,5,4,5,5,4,5,5,5,4,5,5,3,5,3
"96cmn76k",10616188,"chinese",3,2,5,6,5,3,3,2,2,5,6,1,5,7,5,1,1,1,1,1,4,2,5,5,1,4,5,5,5,5,5,5,4,5,5,3,2,5,5,5
"9dz5gu40",10615358,"chinese",3,1,1,6,1,1,7,2,1,5,1,2,7,7,4,1,1,1,1,1,5,1,4,5,1,5,5,4,5,4,5,5,4,5,4,5,3,1,5,5
