"Participant.Public.ID","Participant.Private.ID","Spreadsheet..audio","Trial.Number.x","Display.x","Response.x","Trial.Number.y","Display.y","Response.y"
"0rj5b2ip","10615301","Half_real_53_32bit.mp3","8","Trial",90,"5","Trial",63
"0rj5b2ip","10615301","Half_real_54_32bit.mp3","1","Trial",91,"2","Trial",76
"0rj5b2ip","10615301","Half_real_58_32bit.mp3","7","Trial",46,"10","Trial",79
"0rj5b2ip","10615301","Half_real_73_32bit.mp3","12","Trial",90,"24","Trial",81
"0rj5b2ip","10615301","Half_real_74_32bit.mp3","2","Trial",89,"8","Trial",50
"0rj5b2ip","10615301","real_08_32bit.mp3","5","Trial",82,"19","Trial",83
"0rj5b2ip","10615301","real_102_32bit.mp3","11","Trial",85,"17","Trial",50
"0rj5b2ip","10615301","real_12_32bit.mp3","24","Trial",44,"11","Trial",78
"0rj5b2ip","10615301","real_21_32bit.mp3","6","Trial",81,"23","Trial",90
"0rj5b2ip","10615301","real_24_32bit.mp3","19","Trial",74,"13","Trial",63
"0rj5b2ip","10615301","real_33_32bit.mp3","10","Trial",95,"18","Trial",80
"0rj5b2ip","10615301","real_35_32bit.mp3","18","Trial",79,"12","Trial",67
"0rj5b2ip","10615301","real_39_2_32bit.mp3","17","Trial",86,"3","Trial",87
"0rj5b2ip","10615301","real_42_2_32bit.mp3","23","Trial",47,"15","Trial",80
"0rj5b2ip","10615301","real_65_32bit.mp3","20","Trial",97,"22","Trial",91
"0rj5b2ip","10615301","real_70_32bit.mp3","15","Trial",55,"14","Trial",86
"0rj5b2ip","10615301","real_77_32bit.mp3","4","Trial",95,"20","Trial",95
"0rj5b2ip","10615301","real_82_32bit.mp3","16","Trial",58,"4","Trial",50
"0rj5b2ip","10615301","real_83_32bit.mp3","3","Trial",82,"16","Trial",48
"0rj5b2ip","10615301","real_91_32bit.mp3","21","Trial",64,"7","Trial",81
"0rj5b2ip","10615301","real_97_32bit.mp3","13","Trial",84,"1","Trial",75
"0rj5b2ip","10615301","real_98_32bit.mp3","14","Trial",63,"9","Trial",57
"12w4b7xr","10747920","Half_real_37_32bit.mp3","7","Trial",100,"23","Trial",70
"12w4b7xr","10747920","Half_real_50_32bit.mp3","8","Trial",84,"21","Trial",72
"12w4b7xr","10747920","Half_real_53_32bit.mp3","6","Trial",100,"12","Trial",92
"12w4b7xr","10747920","Half_real_54_32bit.mp3","3","Trial",74,"1","Trial",72
"12w4b7xr","10747920","Half_real_58_32bit.mp3","12","Trial",76,"9","Trial",82
"12w4b7xr","10747920","Half_real_73_32bit.mp3","24","Trial",65,"6","Trial",74
"12w4b7xr","10747920","Half_real_74_32bit.mp3","15","Trial",70,"19","Trial",85
"12w4b7xr","10747920","real_08_32bit.mp3","1","Trial",69,"17","Trial",83
"12w4b7xr","10747920","real_102_32bit.mp3","14","Trial",82,"22","Trial",70
"12w4b7xr","10747920","real_12_32bit.mp3","21","Trial",69,"3","Trial",56
"12w4b7xr","10747920","real_21_32bit.mp3","20","Trial",64,"5","Trial",74
"12w4b7xr","10747920","real_24_32bit.mp3","17","Trial",70,"14","Trial",91
"12w4b7xr","10747920","real_33_32bit.mp3","16","Trial",77,"20","Trial",79
"12w4b7xr","10747920","real_35_32bit.mp3","5","Trial",100,"24","Trial",83
"12w4b7xr","10747920","real_39_2_32bit.mp3","9","Trial",76,"8","Trial",81
"12w4b7xr","10747920","real_42_2_32bit.mp3","13","Trial",76,"4","Trial",71
"12w4b7xr","10747920","real_65_32bit.mp3","18","Trial",75,"16","Trial",76
"12w4b7xr","10747920","real_70_32bit.mp3","22","Trial",70,"7","Trial",69
"12w4b7xr","10747920","real_77_32bit.mp3","19","Trial",78,"2","Trial",92
"12w4b7xr","10747920","real_82_32bit.mp3","10","Trial",99,"10","Trial",80
"12w4b7xr","10747920","real_83_32bit.mp3","23","Trial",82,"15","Trial",95
"12w4b7xr","10747920","real_91_32bit.mp3","4","Trial",82,"11","Trial",66
"12w4b7xr","10747920","real_97_32bit.mp3","2","Trial",71,"13","Trial",83
"12w4b7xr","10747920","real_98_32bit.mp3","11","Trial",81,"18","Trial",77
"130mtdx5","10749093","Half_real_37_32bit.mp3","18","Trial",38,"22","Trial",38
"130mtdx5","10749093","Half_real_50_32bit.mp3","5","Trial",57,"19","Trial",39
"130mtdx5","10749093","Half_real_53_32bit.mp3","13","Trial",70,"9","Trial",74
"130mtdx5","10749093","Half_real_54_32bit.mp3","19","Trial",74,"23","Trial",81
"130mtdx5","10749093","Half_real_58_32bit.mp3","21","Trial",38,"8","Trial",23
"130mtdx5","10749093","Half_real_73_32bit.mp3","17","Trial",22,"2","Trial",12
"130mtdx5","10749093","Half_real_74_32bit.mp3","16","Trial",32,"20","Trial",35
"130mtdx5","10749093","real_08_32bit.mp3","1","Trial",80,"17","Trial",89
"130mtdx5","10749093","real_102_32bit.mp3","22","Trial",73,"15","Trial",63
"130mtdx5","10749093","real_12_32bit.mp3","20","Trial",24,"10","Trial",33
"130mtdx5","10749093","real_21_32bit.mp3","9","Trial",39,"21","Trial",67
"130mtdx5","10749093","real_24_32bit.mp3","12","Trial",14,"16","Trial",28
"130mtdx5","10749093","real_33_32bit.mp3","14","Trial",37,"18","Trial",67
"130mtdx5","10749093","real_35_32bit.mp3","3","Trial",58,"11","Trial",59
"130mtdx5","10749093","real_39_2_32bit.mp3","15","Trial",61,"12","Trial",75
"130mtdx5","10749093","real_42_2_32bit.mp3","24","Trial",76,"7","Trial",67
"130mtdx5","10749093","real_65_32bit.mp3","7","Trial",82,"4","Trial",65
"130mtdx5","10749093","real_70_32bit.mp3","10","Trial",57,"1","Trial",79
"130mtdx5","10749093","real_77_32bit.mp3","23","Trial",93,"24","Trial",80
"130mtdx5","10749093","real_82_32bit.mp3","11","Trial",33,"3","Trial",31
"130mtdx5","10749093","real_83_32bit.mp3","6","Trial",78,"14","Trial",80
"130mtdx5","10749093","real_91_32bit.mp3","2","Trial",36,"13","Trial",34
"130mtdx5","10749093","real_97_32bit.mp3","8","Trial",70,"5","Trial",62
"130mtdx5","10749093","real_98_32bit.mp3","4","Trial",77,"6","Trial",70
"248x4tej","10615516","Half_real_37_32bit.mp3","24","Trial",66,"10","Trial",68
"248x4tej","10615516","Half_real_50_32bit.mp3","22","Trial",39,"22","Trial",63
"248x4tej","10615516","Half_real_53_32bit.mp3","13","Trial",33,"11","Trial",77
"248x4tej","10615516","Half_real_54_32bit.mp3","15","Trial",66,"16","Trial",71
"248x4tej","10615516","Half_real_58_32bit.mp3","8","Trial",60,"21","Trial",56
"248x4tej","10615516","Half_real_73_32bit.mp3","7","Trial",35,"18","Trial",62
"248x4tej","10615516","Half_real_74_32bit.mp3","2","Trial",84,"5","Trial",59
"248x4tej","10615516","real_08_32bit.mp3","6","Trial",37,"9","Trial",57
"248x4tej","10615516","real_102_32bit.mp3","3","Trial",22,"14","Trial",96
"248x4tej","10615516","real_12_32bit.mp3","11","Trial",65,"15","Trial",86
"248x4tej","10615516","real_21_32bit.mp3","1","Trial",14,"13","Trial",75
"248x4tej","10615516","real_24_32bit.mp3","17","Trial",79,"8","Trial",71
"248x4tej","10615516","real_33_32bit.mp3","20","Trial",25,"3","Trial",42
"248x4tej","10615516","real_35_32bit.mp3","19","Trial",64,"2","Trial",59
"248x4tej","10615516","real_39_2_32bit.mp3","10","Trial",32,"4","Trial",56
"248x4tej","10615516","real_42_2_32bit.mp3","18","Trial",33,"20","Trial",72
"248x4tej","10615516","real_65_32bit.mp3","14","Trial",91,"6","Trial",56
"248x4tej","10615516","real_70_32bit.mp3","9","Trial",72,"23","Trial",96
"248x4tej","10615516","real_77_32bit.mp3","5","Trial",74,"17","Trial",61
"248x4tej","10615516","real_82_32bit.mp3","21","Trial",57,"1","Trial",36
"248x4tej","10615516","real_83_32bit.mp3","23","Trial",43,"19","Trial",38
"248x4tej","10615516","real_91_32bit.mp3","16","Trial",59,"12","Trial",58
"248x4tej","10615516","real_97_32bit.mp3","12","Trial",92,"24","Trial",71
"248x4tej","10615516","real_98_32bit.mp3","4","Trial",23,"7","Trial",81
"29v1q34h","10747783","Half_real_37_32bit.mp3","19","Trial",61,"3","Trial",40
"29v1q34h","10747783","Half_real_50_32bit.mp3","1","Trial",60,"6","Trial",64
"29v1q34h","10747783","Half_real_53_32bit.mp3","23","Trial",37,"23","Trial",94
"29v1q34h","10747783","Half_real_54_32bit.mp3","15","Trial",63,"8","Trial",59
"29v1q34h","10747783","Half_real_58_32bit.mp3","2","Trial",71,"21","Trial",96
"29v1q34h","10747783","Half_real_73_32bit.mp3","16","Trial",42,"14","Trial",27
